country,developed,renewable_eng,gdppc_growth,capital_formation,pop_growth,trade
South Africa,0,16.09739397,0.852684804,6.404889237,1.605751699,64.24175982
South Sudan,0,29.70165497,10.49253387,17.64383562,2.358727149,50.81124659
Spain,1,16.9499657,-1.111898854,-3.952035591,-0.32766904,61.9962993
Sri Lanka,0,59.87225334,2.59207381,-8.831136997,0.780301448,49.25779234
Sudan,0,61.30915496,1.920126005,4.6021093,2.398943982,23.72849713
Sweden,1,48.82522226,0.333984863,1.563725196,0.847348652,80.81566528
Switzerland,1,22.99251967,0.68757165,-9.768969414,1.149879758,131.7965515
Tajikistan,0,57.9210513,4.935751742,5.012968692,2.321266395,71.74374289
Tanzania,0,86.62480636,3.638008388,23.88368446,2.993448581,48.63061535
Thailand,0,22.94360746,2.222548133,2.763114337,0.453807163,132.4622742
Timor-Leste,0,21.54162756,0.321659626,-21.57945478,1.77593765,79.64436456
Togo,0,72.3995414,3.352029841,35.65491184,2.635744685,112.7610023
Tunisia,0,13.24921425,1.880398522,5.89673946,0.972018923,103.4499049
Turkey,1,13.84754526,6.663329395,17.0002781,1.694202585,52.5272988
Uganda,0,90.75016556,0.290029688,13.02970744,3.234464508,43.29505944
Ukraine,0,3.488733284,0.201192016,-12.35108029,-0.22769135,95.14966578
United Arab Emirates,1,0.111770805,4.410159045,-1.382842807,0.614129704,165.2759533
United Kingdom,1,6.015780949,1.457701819,7.639796994,0.669740536,61.18183568
United States,1,8.713261573,1.145053236,4.665742553,0.686773156,30.01300721
Uruguay,1,50.74627302,4.314466923,4.773809907,0.309230785,49.71784647
Vanuatu,0,42.57333063,-0.866210852,16.99286509,2.819993478,99.1200876
"Venezuela, RB",0,14.41997394,-0.089837107,-13.950301,1.424031969,54.27776127
Vietnam,0,37.39155073,4.317191047,5.449939217,1.053406156,165.094237
West Bank and Gaza,0,11.61040474,2.214850479,14.44595757,2.40084832,66.27131812
Zimbabwe,0,79.56109383,0.192501099,-5.471258326,1.777644933,58.656494
